size_slug,ollama_ref,size_file
72b,athene-v2:72b,sizes/72b.json
72b-fp16,athene-v2:72b-fp16,sizes/72b-fp16.json
72b-q2-k,athene-v2:72b-q2_K,sizes/72b-q2-k.json
72b-q3-k-l,athene-v2:72b-q3_K_L,sizes/72b-q3-k-l.json
72b-q3-k-m,athene-v2:72b-q3_K_M,sizes/72b-q3-k-m.json
72b-q3-k-s,athene-v2:72b-q3_K_S,sizes/72b-q3-k-s.json
72b-q4-k-m,athene-v2:72b-q4_K_M,sizes/72b-q4-k-m.json
72b-q4-k-s,athene-v2:72b-q4_K_S,sizes/72b-q4-k-s.json
72b-q40,athene-v2:72b-q4_0,sizes/72b-q40.json
72b-q41,athene-v2:72b-q4_1,sizes/72b-q41.json
72b-q5-k-m,athene-v2:72b-q5_K_M,sizes/72b-q5-k-m.json
72b-q5-k-s,athene-v2:72b-q5_K_S,sizes/72b-q5-k-s.json
72b-q50,athene-v2:72b-q5_0,sizes/72b-q50.json
72b-q51,athene-v2:72b-q5_1,sizes/72b-q51.json
72b-q6-k,athene-v2:72b-q6_K,sizes/72b-q6-k.json
72b-q80,athene-v2:72b-q8_0,sizes/72b-q80.json
latest,athene-v2:latest,sizes/latest.json
