size_slug,ollama_ref,size_file,fit_status
8x22b,mixtral:8x22b,../sizes/8x22b.json,no_fit
8x22b-instruct,mixtral:8x22b-instruct,../sizes/8x22b-instruct.json,no_fit
8x22b-instruct-v0.1-fp16,mixtral:8x22b-instruct-v0.1-fp16,../sizes/8x22b-instruct-v0.1-fp16.json,no_fit
8x22b-instruct-v0.1-q2-k,mixtral:8x22b-instruct-v0.1-q2_K,../sizes/8x22b-instruct-v0.1-q2-k.json,no_fit
8x22b-instruct-v0.1-q3-k-l,mixtral:8x22b-instruct-v0.1-q3_K_L,../sizes/8x22b-instruct-v0.1-q3-k-l.json,no_fit
8x22b-instruct-v0.1-q3-k-m,mixtral:8x22b-instruct-v0.1-q3_K_M,../sizes/8x22b-instruct-v0.1-q3-k-m.json,no_fit
8x22b-instruct-v0.1-q3-k-s,mixtral:8x22b-instruct-v0.1-q3_K_S,../sizes/8x22b-instruct-v0.1-q3-k-s.json,no_fit
8x22b-instruct-v0.1-q4-k-m,mixtral:8x22b-instruct-v0.1-q4_K_M,../sizes/8x22b-instruct-v0.1-q4-k-m.json,no_fit
8x22b-instruct-v0.1-q4-k-s,mixtral:8x22b-instruct-v0.1-q4_K_S,../sizes/8x22b-instruct-v0.1-q4-k-s.json,no_fit
8x22b-instruct-v0.1-q40,mixtral:8x22b-instruct-v0.1-q4_0,../sizes/8x22b-instruct-v0.1-q40.json,no_fit
8x22b-instruct-v0.1-q41,mixtral:8x22b-instruct-v0.1-q4_1,../sizes/8x22b-instruct-v0.1-q41.json,no_fit
8x22b-instruct-v0.1-q5-k-m,mixtral:8x22b-instruct-v0.1-q5_K_M,../sizes/8x22b-instruct-v0.1-q5-k-m.json,no_fit
8x22b-instruct-v0.1-q5-k-s,mixtral:8x22b-instruct-v0.1-q5_K_S,../sizes/8x22b-instruct-v0.1-q5-k-s.json,no_fit
8x22b-instruct-v0.1-q50,mixtral:8x22b-instruct-v0.1-q5_0,../sizes/8x22b-instruct-v0.1-q50.json,no_fit
8x22b-instruct-v0.1-q51,mixtral:8x22b-instruct-v0.1-q5_1,../sizes/8x22b-instruct-v0.1-q51.json,no_fit
8x22b-instruct-v0.1-q6-k,mixtral:8x22b-instruct-v0.1-q6_K,../sizes/8x22b-instruct-v0.1-q6-k.json,no_fit
8x22b-instruct-v0.1-q80,mixtral:8x22b-instruct-v0.1-q8_0,../sizes/8x22b-instruct-v0.1-q80.json,no_fit
8x22b-text,mixtral:8x22b-text,../sizes/8x22b-text.json,no_fit
8x22b-text-v0.1-fp16,mixtral:8x22b-text-v0.1-fp16,../sizes/8x22b-text-v0.1-fp16.json,no_fit
8x22b-text-v0.1-q2-k,mixtral:8x22b-text-v0.1-q2_K,../sizes/8x22b-text-v0.1-q2-k.json,no_fit
8x22b-text-v0.1-q3-k-l,mixtral:8x22b-text-v0.1-q3_K_L,../sizes/8x22b-text-v0.1-q3-k-l.json,no_fit
8x22b-text-v0.1-q3-k-m,mixtral:8x22b-text-v0.1-q3_K_M,../sizes/8x22b-text-v0.1-q3-k-m.json,no_fit
8x22b-text-v0.1-q3-k-s,mixtral:8x22b-text-v0.1-q3_K_S,../sizes/8x22b-text-v0.1-q3-k-s.json,no_fit
8x22b-text-v0.1-q4-k-m,mixtral:8x22b-text-v0.1-q4_K_M,../sizes/8x22b-text-v0.1-q4-k-m.json,no_fit
8x22b-text-v0.1-q4-k-s,mixtral:8x22b-text-v0.1-q4_K_S,../sizes/8x22b-text-v0.1-q4-k-s.json,no_fit
8x22b-text-v0.1-q40,mixtral:8x22b-text-v0.1-q4_0,../sizes/8x22b-text-v0.1-q40.json,no_fit
8x22b-text-v0.1-q41,mixtral:8x22b-text-v0.1-q4_1,../sizes/8x22b-text-v0.1-q41.json,no_fit
8x22b-text-v0.1-q5-k-m,mixtral:8x22b-text-v0.1-q5_K_M,../sizes/8x22b-text-v0.1-q5-k-m.json,no_fit
8x22b-text-v0.1-q5-k-s,mixtral:8x22b-text-v0.1-q5_K_S,../sizes/8x22b-text-v0.1-q5-k-s.json,no_fit
8x22b-text-v0.1-q50,mixtral:8x22b-text-v0.1-q5_0,../sizes/8x22b-text-v0.1-q50.json,no_fit
8x22b-text-v0.1-q51,mixtral:8x22b-text-v0.1-q5_1,../sizes/8x22b-text-v0.1-q51.json,no_fit
8x22b-text-v0.1-q6-k,mixtral:8x22b-text-v0.1-q6_K,../sizes/8x22b-text-v0.1-q6-k.json,no_fit
8x22b-text-v0.1-q80,mixtral:8x22b-text-v0.1-q8_0,../sizes/8x22b-text-v0.1-q80.json,no_fit
8x7b,mixtral:8x7b,../sizes/8x7b.json,no_fit
8x7b-instruct-v0.1-fp16,mixtral:8x7b-instruct-v0.1-fp16,../sizes/8x7b-instruct-v0.1-fp16.json,no_fit
8x7b-instruct-v0.1-q2-k,mixtral:8x7b-instruct-v0.1-q2_K,../sizes/8x7b-instruct-v0.1-q2-k.json,no_fit
8x7b-instruct-v0.1-q3-k-l,mixtral:8x7b-instruct-v0.1-q3_K_L,../sizes/8x7b-instruct-v0.1-q3-k-l.json,no_fit
8x7b-instruct-v0.1-q3-k-m,mixtral:8x7b-instruct-v0.1-q3_K_M,../sizes/8x7b-instruct-v0.1-q3-k-m.json,no_fit
8x7b-instruct-v0.1-q3-k-s,mixtral:8x7b-instruct-v0.1-q3_K_S,../sizes/8x7b-instruct-v0.1-q3-k-s.json,no_fit
8x7b-instruct-v0.1-q4-k-m,mixtral:8x7b-instruct-v0.1-q4_K_M,../sizes/8x7b-instruct-v0.1-q4-k-m.json,no_fit
8x7b-instruct-v0.1-q4-k-s,mixtral:8x7b-instruct-v0.1-q4_K_S,../sizes/8x7b-instruct-v0.1-q4-k-s.json,no_fit
8x7b-instruct-v0.1-q40,mixtral:8x7b-instruct-v0.1-q4_0,../sizes/8x7b-instruct-v0.1-q40.json,no_fit
8x7b-instruct-v0.1-q41,mixtral:8x7b-instruct-v0.1-q4_1,../sizes/8x7b-instruct-v0.1-q41.json,no_fit
8x7b-instruct-v0.1-q5-k-m,mixtral:8x7b-instruct-v0.1-q5_K_M,../sizes/8x7b-instruct-v0.1-q5-k-m.json,no_fit
8x7b-instruct-v0.1-q5-k-s,mixtral:8x7b-instruct-v0.1-q5_K_S,../sizes/8x7b-instruct-v0.1-q5-k-s.json,no_fit
8x7b-instruct-v0.1-q50,mixtral:8x7b-instruct-v0.1-q5_0,../sizes/8x7b-instruct-v0.1-q50.json,no_fit
8x7b-instruct-v0.1-q51,mixtral:8x7b-instruct-v0.1-q5_1,../sizes/8x7b-instruct-v0.1-q51.json,no_fit
8x7b-instruct-v0.1-q6-k,mixtral:8x7b-instruct-v0.1-q6_K,../sizes/8x7b-instruct-v0.1-q6-k.json,no_fit
8x7b-instruct-v0.1-q80,mixtral:8x7b-instruct-v0.1-q8_0,../sizes/8x7b-instruct-v0.1-q80.json,no_fit
8x7b-text,mixtral:8x7b-text,../sizes/8x7b-text.json,no_fit
8x7b-text-v0.1-fp16,mixtral:8x7b-text-v0.1-fp16,../sizes/8x7b-text-v0.1-fp16.json,no_fit
8x7b-text-v0.1-q2-k,mixtral:8x7b-text-v0.1-q2_K,../sizes/8x7b-text-v0.1-q2-k.json,no_fit
8x7b-text-v0.1-q3-k-l,mixtral:8x7b-text-v0.1-q3_K_L,../sizes/8x7b-text-v0.1-q3-k-l.json,no_fit
8x7b-text-v0.1-q3-k-m,mixtral:8x7b-text-v0.1-q3_K_M,../sizes/8x7b-text-v0.1-q3-k-m.json,no_fit
8x7b-text-v0.1-q3-k-s,mixtral:8x7b-text-v0.1-q3_K_S,../sizes/8x7b-text-v0.1-q3-k-s.json,no_fit
8x7b-text-v0.1-q4-k-m,mixtral:8x7b-text-v0.1-q4_K_M,../sizes/8x7b-text-v0.1-q4-k-m.json,no_fit
8x7b-text-v0.1-q4-k-s,mixtral:8x7b-text-v0.1-q4_K_S,../sizes/8x7b-text-v0.1-q4-k-s.json,no_fit
8x7b-text-v0.1-q40,mixtral:8x7b-text-v0.1-q4_0,../sizes/8x7b-text-v0.1-q40.json,no_fit
8x7b-text-v0.1-q41,mixtral:8x7b-text-v0.1-q4_1,../sizes/8x7b-text-v0.1-q41.json,no_fit
8x7b-text-v0.1-q5-k-m,mixtral:8x7b-text-v0.1-q5_K_M,../sizes/8x7b-text-v0.1-q5-k-m.json,no_fit
8x7b-text-v0.1-q5-k-s,mixtral:8x7b-text-v0.1-q5_K_S,../sizes/8x7b-text-v0.1-q5-k-s.json,no_fit
8x7b-text-v0.1-q50,mixtral:8x7b-text-v0.1-q5_0,../sizes/8x7b-text-v0.1-q50.json,no_fit
8x7b-text-v0.1-q51,mixtral:8x7b-text-v0.1-q5_1,../sizes/8x7b-text-v0.1-q51.json,no_fit
8x7b-text-v0.1-q6-k,mixtral:8x7b-text-v0.1-q6_K,../sizes/8x7b-text-v0.1-q6-k.json,no_fit
8x7b-text-v0.1-q80,mixtral:8x7b-text-v0.1-q8_0,../sizes/8x7b-text-v0.1-q80.json,no_fit
instruct,mixtral:instruct,../sizes/instruct.json,no_fit
latest,mixtral:latest,../sizes/latest.json,no_fit
text,mixtral:text,../sizes/text.json,no_fit
v0.1,mixtral:v0.1,../sizes/v0.1.json,no_fit
v0.1-instruct,mixtral:v0.1-instruct,../sizes/v0.1-instruct.json,no_fit
