size_slug,ollama_ref,size_file
180b,falcon:180b,sizes/180b.json
180b-chat,falcon:180b-chat,sizes/180b-chat.json
180b-chat-q40,falcon:180b-chat-q4_0,sizes/180b-chat-q40.json
180b-text,falcon:180b-text,sizes/180b-text.json
180b-text-q40,falcon:180b-text-q4_0,sizes/180b-text-q40.json
40b,falcon:40b,sizes/40b.json
40b-instruct,falcon:40b-instruct,sizes/40b-instruct.json
40b-instruct-fp16,falcon:40b-instruct-fp16,sizes/40b-instruct-fp16.json
40b-instruct-q40,falcon:40b-instruct-q4_0,sizes/40b-instruct-q40.json
40b-instruct-q41,falcon:40b-instruct-q4_1,sizes/40b-instruct-q41.json
40b-instruct-q50,falcon:40b-instruct-q5_0,sizes/40b-instruct-q50.json
40b-instruct-q51,falcon:40b-instruct-q5_1,sizes/40b-instruct-q51.json
40b-instruct-q80,falcon:40b-instruct-q8_0,sizes/40b-instruct-q80.json
40b-text,falcon:40b-text,sizes/40b-text.json
40b-text-fp16,falcon:40b-text-fp16,sizes/40b-text-fp16.json
40b-text-q40,falcon:40b-text-q4_0,sizes/40b-text-q40.json
40b-text-q41,falcon:40b-text-q4_1,sizes/40b-text-q41.json
40b-text-q50,falcon:40b-text-q5_0,sizes/40b-text-q50.json
40b-text-q51,falcon:40b-text-q5_1,sizes/40b-text-q51.json
40b-text-q80,falcon:40b-text-q8_0,sizes/40b-text-q80.json
7b,falcon:7b,sizes/7b.json
7b-instruct,falcon:7b-instruct,sizes/7b-instruct.json
7b-instruct-fp16,falcon:7b-instruct-fp16,sizes/7b-instruct-fp16.json
7b-instruct-q40,falcon:7b-instruct-q4_0,sizes/7b-instruct-q40.json
7b-instruct-q41,falcon:7b-instruct-q4_1,sizes/7b-instruct-q41.json
7b-instruct-q50,falcon:7b-instruct-q5_0,sizes/7b-instruct-q50.json
7b-instruct-q51,falcon:7b-instruct-q5_1,sizes/7b-instruct-q51.json
7b-instruct-q80,falcon:7b-instruct-q8_0,sizes/7b-instruct-q80.json
7b-text,falcon:7b-text,sizes/7b-text.json
7b-text-fp16,falcon:7b-text-fp16,sizes/7b-text-fp16.json
7b-text-q40,falcon:7b-text-q4_0,sizes/7b-text-q40.json
7b-text-q41,falcon:7b-text-q4_1,sizes/7b-text-q41.json
7b-text-q50,falcon:7b-text-q5_0,sizes/7b-text-q50.json
7b-text-q51,falcon:7b-text-q5_1,sizes/7b-text-q51.json
7b-text-q80,falcon:7b-text-q8_0,sizes/7b-text-q80.json
instruct,falcon:instruct,sizes/instruct.json
latest,falcon:latest,sizes/latest.json
text,falcon:text,sizes/text.json
