size_slug,ollama_ref,size_file,fit_status
7b,codeqwen:7b,../sizes/7b.json,fit
7b-chat,codeqwen:7b-chat,../sizes/7b-chat.json,fit
7b-chat-v1.5-fp16,codeqwen:7b-chat-v1.5-fp16,../sizes/7b-chat-v1.5-fp16.json,no_fit
7b-chat-v1.5-q2-k,codeqwen:7b-chat-v1.5-q2_K,../sizes/7b-chat-v1.5-q2-k.json,fit
7b-chat-v1.5-q3-k-l,codeqwen:7b-chat-v1.5-q3_K_L,../sizes/7b-chat-v1.5-q3-k-l.json,fit
7b-chat-v1.5-q3-k-m,codeqwen:7b-chat-v1.5-q3_K_M,../sizes/7b-chat-v1.5-q3-k-m.json,fit
7b-chat-v1.5-q3-k-s,codeqwen:7b-chat-v1.5-q3_K_S,../sizes/7b-chat-v1.5-q3-k-s.json,fit
7b-chat-v1.5-q4-k-m,codeqwen:7b-chat-v1.5-q4_K_M,../sizes/7b-chat-v1.5-q4-k-m.json,fit
7b-chat-v1.5-q4-k-s,codeqwen:7b-chat-v1.5-q4_K_S,../sizes/7b-chat-v1.5-q4-k-s.json,fit
7b-chat-v1.5-q40,codeqwen:7b-chat-v1.5-q4_0,../sizes/7b-chat-v1.5-q40.json,fit
7b-chat-v1.5-q41,codeqwen:7b-chat-v1.5-q4_1,../sizes/7b-chat-v1.5-q41.json,fit
7b-chat-v1.5-q5-k-m,codeqwen:7b-chat-v1.5-q5_K_M,../sizes/7b-chat-v1.5-q5-k-m.json,fit
7b-chat-v1.5-q5-k-s,codeqwen:7b-chat-v1.5-q5_K_S,../sizes/7b-chat-v1.5-q5-k-s.json,fit
7b-chat-v1.5-q50,codeqwen:7b-chat-v1.5-q5_0,../sizes/7b-chat-v1.5-q50.json,fit
7b-chat-v1.5-q51,codeqwen:7b-chat-v1.5-q5_1,../sizes/7b-chat-v1.5-q51.json,fit
7b-chat-v1.5-q6-k,codeqwen:7b-chat-v1.5-q6_K,../sizes/7b-chat-v1.5-q6-k.json,fit
7b-chat-v1.5-q80,codeqwen:7b-chat-v1.5-q8_0,../sizes/7b-chat-v1.5-q80.json,fit
7b-code,codeqwen:7b-code,../sizes/7b-code.json,fit
7b-code-v1.5-fp16,codeqwen:7b-code-v1.5-fp16,../sizes/7b-code-v1.5-fp16.json,no_fit
7b-code-v1.5-q40,codeqwen:7b-code-v1.5-q4_0,../sizes/7b-code-v1.5-q40.json,fit
7b-code-v1.5-q41,codeqwen:7b-code-v1.5-q4_1,../sizes/7b-code-v1.5-q41.json,fit
7b-code-v1.5-q50,codeqwen:7b-code-v1.5-q5_0,../sizes/7b-code-v1.5-q50.json,fit
7b-code-v1.5-q51,codeqwen:7b-code-v1.5-q5_1,../sizes/7b-code-v1.5-q51.json,fit
7b-code-v1.5-q80,codeqwen:7b-code-v1.5-q8_0,../sizes/7b-code-v1.5-q80.json,fit
chat,codeqwen:chat,../sizes/chat.json,fit
code,codeqwen:code,../sizes/code.json,fit
latest,codeqwen:latest,../sizes/latest.json,fit
v1.5,codeqwen:v1.5,../sizes/v1.5.json,fit
v1.5-chat,codeqwen:v1.5-chat,../sizes/v1.5-chat.json,fit
v1.5-code,codeqwen:v1.5-code,../sizes/v1.5-code.json,fit
