size_slug,ollama_ref,size_file
8b,granite3-guardian:8b,sizes/8b.json
8b-fp16,granite3-guardian:8b-fp16,sizes/8b-fp16.json
8b-q5-k-m,granite3-guardian:8b-q5_K_M,sizes/8b-q5-k-m.json
8b-q5-k-s,granite3-guardian:8b-q5_K_S,sizes/8b-q5-k-s.json
8b-q6-k,granite3-guardian:8b-q6_K,sizes/8b-q6-k.json
8b-q80,granite3-guardian:8b-q8_0,sizes/8b-q80.json
2b,granite3-guardian:2b,sizes/2b.json
2b-fp16,granite3-guardian:2b-fp16,sizes/2b-fp16.json
2b-q80,granite3-guardian:2b-q8_0,sizes/2b-q80.json
latest,granite3-guardian:latest,sizes/latest.json
