size_slug,ollama_ref,size_file
141b,zephyr:141b,sizes/141b.json
141b-v0.1,zephyr:141b-v0.1,sizes/141b-v0.1.json
141b-v0.1-fp16,zephyr:141b-v0.1-fp16,sizes/141b-v0.1-fp16.json
141b-v0.1-q2-k,zephyr:141b-v0.1-q2_K,sizes/141b-v0.1-q2-k.json
141b-v0.1-q40,zephyr:141b-v0.1-q4_0,sizes/141b-v0.1-q40.json
141b-v0.1-q80,zephyr:141b-v0.1-q8_0,sizes/141b-v0.1-q80.json
7b,zephyr:7b,sizes/7b.json
7b-alpha,zephyr:7b-alpha,sizes/7b-alpha.json
7b-alpha-fp16,zephyr:7b-alpha-fp16,sizes/7b-alpha-fp16.json
7b-alpha-q2-k,zephyr:7b-alpha-q2_K,sizes/7b-alpha-q2-k.json
7b-alpha-q3-k-l,zephyr:7b-alpha-q3_K_L,sizes/7b-alpha-q3-k-l.json
7b-alpha-q3-k-m,zephyr:7b-alpha-q3_K_M,sizes/7b-alpha-q3-k-m.json
7b-alpha-q3-k-s,zephyr:7b-alpha-q3_K_S,sizes/7b-alpha-q3-k-s.json
7b-alpha-q4-k-m,zephyr:7b-alpha-q4_K_M,sizes/7b-alpha-q4-k-m.json
7b-alpha-q4-k-s,zephyr:7b-alpha-q4_K_S,sizes/7b-alpha-q4-k-s.json
7b-alpha-q40,zephyr:7b-alpha-q4_0,sizes/7b-alpha-q40.json
7b-alpha-q41,zephyr:7b-alpha-q4_1,sizes/7b-alpha-q41.json
7b-alpha-q5-k-m,zephyr:7b-alpha-q5_K_M,sizes/7b-alpha-q5-k-m.json
7b-alpha-q5-k-s,zephyr:7b-alpha-q5_K_S,sizes/7b-alpha-q5-k-s.json
7b-alpha-q50,zephyr:7b-alpha-q5_0,sizes/7b-alpha-q50.json
7b-alpha-q51,zephyr:7b-alpha-q5_1,sizes/7b-alpha-q51.json
7b-alpha-q6-k,zephyr:7b-alpha-q6_K,sizes/7b-alpha-q6-k.json
7b-alpha-q80,zephyr:7b-alpha-q8_0,sizes/7b-alpha-q80.json
7b-beta,zephyr:7b-beta,sizes/7b-beta.json
7b-beta-fp16,zephyr:7b-beta-fp16,sizes/7b-beta-fp16.json
7b-beta-q2-k,zephyr:7b-beta-q2_K,sizes/7b-beta-q2-k.json
7b-beta-q3-k-l,zephyr:7b-beta-q3_K_L,sizes/7b-beta-q3-k-l.json
7b-beta-q3-k-m,zephyr:7b-beta-q3_K_M,sizes/7b-beta-q3-k-m.json
7b-beta-q3-k-s,zephyr:7b-beta-q3_K_S,sizes/7b-beta-q3-k-s.json
7b-beta-q4-k-m,zephyr:7b-beta-q4_K_M,sizes/7b-beta-q4-k-m.json
7b-beta-q4-k-s,zephyr:7b-beta-q4_K_S,sizes/7b-beta-q4-k-s.json
7b-beta-q40,zephyr:7b-beta-q4_0,sizes/7b-beta-q40.json
7b-beta-q41,zephyr:7b-beta-q4_1,sizes/7b-beta-q41.json
7b-beta-q5-k-m,zephyr:7b-beta-q5_K_M,sizes/7b-beta-q5-k-m.json
7b-beta-q5-k-s,zephyr:7b-beta-q5_K_S,sizes/7b-beta-q5-k-s.json
7b-beta-q50,zephyr:7b-beta-q5_0,sizes/7b-beta-q50.json
7b-beta-q51,zephyr:7b-beta-q5_1,sizes/7b-beta-q51.json
7b-beta-q6-k,zephyr:7b-beta-q6_K,sizes/7b-beta-q6-k.json
7b-beta-q80,zephyr:7b-beta-q8_0,sizes/7b-beta-q80.json
latest,zephyr:latest,sizes/latest.json
