size_slug,ollama_ref,size_file,fit_status
2-7b,phi:2.7b,../sizes/2-7b.json,not_listed_in_agents_selection
2-7b-chat-v2-fp16,phi:2.7b-chat-v2-fp16,../sizes/2-7b-chat-v2-fp16.json,not_listed_in_agents_selection
2-7b-chat-v2-q2_k,phi:2.7b-chat-v2-q2_K,../sizes/2-7b-chat-v2-q2_k.json,not_listed_in_agents_selection
2-7b-chat-v2-q3_k_l,phi:2.7b-chat-v2-q3_K_L,../sizes/2-7b-chat-v2-q3_k_l.json,not_listed_in_agents_selection
2-7b-chat-v2-q3_k_m,phi:2.7b-chat-v2-q3_K_M,../sizes/2-7b-chat-v2-q3_k_m.json,not_listed_in_agents_selection
2-7b-chat-v2-q3_k_s,phi:2.7b-chat-v2-q3_K_S,../sizes/2-7b-chat-v2-q3_k_s.json,not_listed_in_agents_selection
2-7b-chat-v2-q4_0,phi:2.7b-chat-v2-q4_0,../sizes/2-7b-chat-v2-q4_0.json,not_listed_in_agents_selection
2-7b-chat-v2-q4_1,phi:2.7b-chat-v2-q4_1,../sizes/2-7b-chat-v2-q4_1.json,not_listed_in_agents_selection
2-7b-chat-v2-q4_k_m,phi:2.7b-chat-v2-q4_K_M,../sizes/2-7b-chat-v2-q4_k_m.json,not_listed_in_agents_selection
2-7b-chat-v2-q4_k_s,phi:2.7b-chat-v2-q4_K_S,../sizes/2-7b-chat-v2-q4_k_s.json,not_listed_in_agents_selection
2-7b-chat-v2-q5_0,phi:2.7b-chat-v2-q5_0,../sizes/2-7b-chat-v2-q5_0.json,not_listed_in_agents_selection
2-7b-chat-v2-q5_1,phi:2.7b-chat-v2-q5_1,../sizes/2-7b-chat-v2-q5_1.json,not_listed_in_agents_selection
2-7b-chat-v2-q5_k_m,phi:2.7b-chat-v2-q5_K_M,../sizes/2-7b-chat-v2-q5_k_m.json,not_listed_in_agents_selection
2-7b-chat-v2-q5_k_s,phi:2.7b-chat-v2-q5_K_S,../sizes/2-7b-chat-v2-q5_k_s.json,not_listed_in_agents_selection
2-7b-chat-v2-q6_k,phi:2.7b-chat-v2-q6_K,../sizes/2-7b-chat-v2-q6_k.json,not_listed_in_agents_selection
2-7b-chat-v2-q8_0,phi:2.7b-chat-v2-q8_0,../sizes/2-7b-chat-v2-q8_0.json,not_listed_in_agents_selection
chat,phi:chat,../sizes/chat.json,not_listed_in_agents_selection
latest,phi:latest,../sizes/latest.json,not_listed_in_agents_selection
