size_slug,ollama_ref,size_file,fit_status
8b,aya:8b,../sizes/8b.json,not_listed_in_agents_selection
8b-23,aya:8b-23,../sizes/8b-23.json,not_listed_in_agents_selection
8b-23-q2_k,aya:8b-23-q2_K,../sizes/8b-23-q2_k.json,not_listed_in_agents_selection
8b-23-q3_k_l,aya:8b-23-q3_K_L,../sizes/8b-23-q3_k_l.json,not_listed_in_agents_selection
8b-23-q3_k_m,aya:8b-23-q3_K_M,../sizes/8b-23-q3_k_m.json,not_listed_in_agents_selection
8b-23-q3_k_s,aya:8b-23-q3_K_S,../sizes/8b-23-q3_k_s.json,not_listed_in_agents_selection
8b-23-q4_0,aya:8b-23-q4_0,../sizes/8b-23-q4_0.json,not_listed_in_agents_selection
8b-23-q4_1,aya:8b-23-q4_1,../sizes/8b-23-q4_1.json,not_listed_in_agents_selection
8b-23-q4_k_m,aya:8b-23-q4_K_M,../sizes/8b-23-q4_k_m.json,not_listed_in_agents_selection
8b-23-q4_k_s,aya:8b-23-q4_K_S,../sizes/8b-23-q4_k_s.json,not_listed_in_agents_selection
8b-23-q5_0,aya:8b-23-q5_0,../sizes/8b-23-q5_0.json,not_listed_in_agents_selection
8b-23-q5_1,aya:8b-23-q5_1,../sizes/8b-23-q5_1.json,not_listed_in_agents_selection
8b-23-q5_k_m,aya:8b-23-q5_K_M,../sizes/8b-23-q5_k_m.json,not_listed_in_agents_selection
8b-23-q5_k_s,aya:8b-23-q5_K_S,../sizes/8b-23-q5_k_s.json,not_listed_in_agents_selection
8b-23-q6_k,aya:8b-23-q6_K,../sizes/8b-23-q6_k.json,not_listed_in_agents_selection
8b-23-q8_0,aya:8b-23-q8_0,../sizes/8b-23-q8_0.json,not_listed_in_agents_selection
latest,aya:latest,../sizes/latest.json,not_listed_in_agents_selection
