size_slug,ollama_ref,size_file
9b,yi:9b,sizes/9b.json
9b-chat,yi:9b-chat,sizes/9b-chat.json
9b-chat-v1-5-fp16,yi:9b-chat-v1.5-fp16,sizes/9b-chat-v1-5-fp16.json
9b-chat-v1-5-q2_k,yi:9b-chat-v1.5-q2_K,sizes/9b-chat-v1-5-q2_k.json
9b-chat-v1-5-q3_k_l,yi:9b-chat-v1.5-q3_K_L,sizes/9b-chat-v1-5-q3_k_l.json
9b-chat-v1-5-q3_k_m,yi:9b-chat-v1.5-q3_K_M,sizes/9b-chat-v1-5-q3_k_m.json
9b-chat-v1-5-q3_k_s,yi:9b-chat-v1.5-q3_K_S,sizes/9b-chat-v1-5-q3_k_s.json
9b-chat-v1-5-q4_0,yi:9b-chat-v1.5-q4_0,sizes/9b-chat-v1-5-q4_0.json
9b-chat-v1-5-q4_1,yi:9b-chat-v1.5-q4_1,sizes/9b-chat-v1-5-q4_1.json
9b-chat-v1-5-q4_k_m,yi:9b-chat-v1.5-q4_K_M,sizes/9b-chat-v1-5-q4_k_m.json
9b-chat-v1-5-q4_k_s,yi:9b-chat-v1.5-q4_K_S,sizes/9b-chat-v1-5-q4_k_s.json
9b-chat-v1-5-q5_0,yi:9b-chat-v1.5-q5_0,sizes/9b-chat-v1-5-q5_0.json
9b-chat-v1-5-q5_1,yi:9b-chat-v1.5-q5_1,sizes/9b-chat-v1-5-q5_1.json
9b-chat-v1-5-q5_k_m,yi:9b-chat-v1.5-q5_K_M,sizes/9b-chat-v1-5-q5_k_m.json
9b-chat-v1-5-q5_k_s,yi:9b-chat-v1.5-q5_K_S,sizes/9b-chat-v1-5-q5_k_s.json
9b-chat-v1-5-q6_k,yi:9b-chat-v1.5-q6_K,sizes/9b-chat-v1-5-q6_k.json
9b-chat-v1-5-q8_0,yi:9b-chat-v1.5-q8_0,sizes/9b-chat-v1-5-q8_0.json
9b-v1-5,yi:9b-v1.5,sizes/9b-v1-5.json
9b-v1-5-fp16,yi:9b-v1.5-fp16,sizes/9b-v1-5-fp16.json
9b-v1-5-q2_k,yi:9b-v1.5-q2_K,sizes/9b-v1-5-q2_k.json
9b-v1-5-q3_k_l,yi:9b-v1.5-q3_K_L,sizes/9b-v1-5-q3_k_l.json
9b-v1-5-q3_k_m,yi:9b-v1.5-q3_K_M,sizes/9b-v1-5-q3_k_m.json
9b-v1-5-q3_k_s,yi:9b-v1.5-q3_K_S,sizes/9b-v1-5-q3_k_s.json
9b-v1-5-q4_0,yi:9b-v1.5-q4_0,sizes/9b-v1-5-q4_0.json
9b-v1-5-q4_1,yi:9b-v1.5-q4_1,sizes/9b-v1-5-q4_1.json
9b-v1-5-q4_k_m,yi:9b-v1.5-q4_K_M,sizes/9b-v1-5-q4_k_m.json
9b-v1-5-q4_k_s,yi:9b-v1.5-q4_K_S,sizes/9b-v1-5-q4_k_s.json
9b-v1-5-q5_0,yi:9b-v1.5-q5_0,sizes/9b-v1-5-q5_0.json
9b-v1-5-q5_1,yi:9b-v1.5-q5_1,sizes/9b-v1-5-q5_1.json
9b-v1-5-q5_k_m,yi:9b-v1.5-q5_K_M,sizes/9b-v1-5-q5_k_m.json
9b-v1-5-q5_k_s,yi:9b-v1.5-q5_K_S,sizes/9b-v1-5-q5_k_s.json
9b-v1-5-q6_k,yi:9b-v1.5-q6_K,sizes/9b-v1-5-q6_k.json
9b-v1-5-q8_0,yi:9b-v1.5-q8_0,sizes/9b-v1-5-q8_0.json
