size_slug,ollama_ref,size_file,fit_status
7b,nous-hermes:7b,../sizes/7b.json,not_listed_in_agents_selection
7b-llama2,nous-hermes:7b-llama2,../sizes/7b-llama2.json,not_listed_in_agents_selection
7b-llama2-fp16,nous-hermes:7b-llama2-fp16,../sizes/7b-llama2-fp16.json,not_listed_in_agents_selection
7b-llama2-q2_k,nous-hermes:7b-llama2-q2_K,../sizes/7b-llama2-q2_k.json,not_listed_in_agents_selection
7b-llama2-q3_k_l,nous-hermes:7b-llama2-q3_K_L,../sizes/7b-llama2-q3_k_l.json,not_listed_in_agents_selection
7b-llama2-q3_k_m,nous-hermes:7b-llama2-q3_K_M,../sizes/7b-llama2-q3_k_m.json,not_listed_in_agents_selection
7b-llama2-q3_k_s,nous-hermes:7b-llama2-q3_K_S,../sizes/7b-llama2-q3_k_s.json,not_listed_in_agents_selection
7b-llama2-q4_0,nous-hermes:7b-llama2-q4_0,../sizes/7b-llama2-q4_0.json,not_listed_in_agents_selection
7b-llama2-q4_1,nous-hermes:7b-llama2-q4_1,../sizes/7b-llama2-q4_1.json,not_listed_in_agents_selection
7b-llama2-q4_k_m,nous-hermes:7b-llama2-q4_K_M,../sizes/7b-llama2-q4_k_m.json,not_listed_in_agents_selection
7b-llama2-q4_k_s,nous-hermes:7b-llama2-q4_K_S,../sizes/7b-llama2-q4_k_s.json,not_listed_in_agents_selection
7b-llama2-q5_0,nous-hermes:7b-llama2-q5_0,../sizes/7b-llama2-q5_0.json,not_listed_in_agents_selection
7b-llama2-q5_1,nous-hermes:7b-llama2-q5_1,../sizes/7b-llama2-q5_1.json,not_listed_in_agents_selection
7b-llama2-q5_k_m,nous-hermes:7b-llama2-q5_K_M,../sizes/7b-llama2-q5_k_m.json,not_listed_in_agents_selection
7b-llama2-q5_k_s,nous-hermes:7b-llama2-q5_K_S,../sizes/7b-llama2-q5_k_s.json,not_listed_in_agents_selection
7b-llama2-q6_k,nous-hermes:7b-llama2-q6_K,../sizes/7b-llama2-q6_k.json,not_listed_in_agents_selection
7b-llama2-q8_0,nous-hermes:7b-llama2-q8_0,../sizes/7b-llama2-q8_0.json,not_listed_in_agents_selection
latest,nous-hermes:latest,../sizes/latest.json,not_listed_in_agents_selection
