size_slug,ollama_ref,size_file,fit_status
13b,codeup:13b,../sizes/13b.json,not_listed_in_agents_selection
13b-llama2,codeup:13b-llama2,../sizes/13b-llama2.json,not_listed_in_agents_selection
13b-llama2-chat,codeup:13b-llama2-chat,../sizes/13b-llama2-chat.json,not_listed_in_agents_selection
13b-llama2-chat-fp16,codeup:13b-llama2-chat-fp16,../sizes/13b-llama2-chat-fp16.json,not_listed_in_agents_selection
13b-llama2-chat-q2_k,codeup:13b-llama2-chat-q2_K,../sizes/13b-llama2-chat-q2_k.json,not_listed_in_agents_selection
13b-llama2-chat-q3_k_l,codeup:13b-llama2-chat-q3_K_L,../sizes/13b-llama2-chat-q3_k_l.json,not_listed_in_agents_selection
13b-llama2-chat-q3_k_m,codeup:13b-llama2-chat-q3_K_M,../sizes/13b-llama2-chat-q3_k_m.json,not_listed_in_agents_selection
13b-llama2-chat-q3_k_s,codeup:13b-llama2-chat-q3_K_S,../sizes/13b-llama2-chat-q3_k_s.json,not_listed_in_agents_selection
13b-llama2-chat-q4_0,codeup:13b-llama2-chat-q4_0,../sizes/13b-llama2-chat-q4_0.json,not_listed_in_agents_selection
13b-llama2-chat-q4_1,codeup:13b-llama2-chat-q4_1,../sizes/13b-llama2-chat-q4_1.json,not_listed_in_agents_selection
13b-llama2-chat-q4_k_m,codeup:13b-llama2-chat-q4_K_M,../sizes/13b-llama2-chat-q4_k_m.json,not_listed_in_agents_selection
13b-llama2-chat-q4_k_s,codeup:13b-llama2-chat-q4_K_S,../sizes/13b-llama2-chat-q4_k_s.json,not_listed_in_agents_selection
13b-llama2-chat-q5_0,codeup:13b-llama2-chat-q5_0,../sizes/13b-llama2-chat-q5_0.json,not_listed_in_agents_selection
13b-llama2-chat-q5_1,codeup:13b-llama2-chat-q5_1,../sizes/13b-llama2-chat-q5_1.json,not_listed_in_agents_selection
13b-llama2-chat-q5_k_m,codeup:13b-llama2-chat-q5_K_M,../sizes/13b-llama2-chat-q5_k_m.json,not_listed_in_agents_selection
13b-llama2-chat-q5_k_s,codeup:13b-llama2-chat-q5_K_S,../sizes/13b-llama2-chat-q5_k_s.json,not_listed_in_agents_selection
13b-llama2-chat-q6_k,codeup:13b-llama2-chat-q6_K,../sizes/13b-llama2-chat-q6_k.json,not_listed_in_agents_selection
13b-llama2-chat-q8_0,codeup:13b-llama2-chat-q8_0,../sizes/13b-llama2-chat-q8_0.json,not_listed_in_agents_selection
latest,codeup:latest,../sizes/latest.json,not_listed_in_agents_selection
