size_slug,ollama_ref,size_file,fit_status
3.8b-mini128k-instruct-q51,phi3:3.8b-mini-128k-instruct-q5_1,../sizes/3.8b-mini128k-instruct-q51.json,no_fit
3.8b-mini128k-instruct-q6-k,phi3:3.8b-mini-128k-instruct-q6_K,../sizes/3.8b-mini128k-instruct-q6-k.json,no_fit
3.8b-mini128k-instruct-q80,phi3:3.8b-mini-128k-instruct-q8_0,../sizes/3.8b-mini128k-instruct-q80.json,no_fit
3.8b-mini4k-instruct-fp16,phi3:3.8b-mini-4k-instruct-fp16,../sizes/3.8b-mini4k-instruct-fp16.json,no_fit
3.8b-mini4k-instruct-q2-k,phi3:3.8b-mini-4k-instruct-q2_K,../sizes/3.8b-mini4k-instruct-q2-k.json,no_fit
3.8b-mini4k-instruct-q3-k-l,phi3:3.8b-mini-4k-instruct-q3_K_L,../sizes/3.8b-mini4k-instruct-q3-k-l.json,no_fit
3.8b-mini4k-instruct-q3-k-m,phi3:3.8b-mini-4k-instruct-q3_K_M,../sizes/3.8b-mini4k-instruct-q3-k-m.json,no_fit
3.8b-mini4k-instruct-q3-k-s,phi3:3.8b-mini-4k-instruct-q3_K_S,../sizes/3.8b-mini4k-instruct-q3-k-s.json,no_fit
3.8b-mini4k-instruct-q4-k-m,phi3:3.8b-mini-4k-instruct-q4_K_M,../sizes/3.8b-mini4k-instruct-q4-k-m.json,no_fit
3.8b-mini4k-instruct-q4-k-s,phi3:3.8b-mini-4k-instruct-q4_K_S,../sizes/3.8b-mini4k-instruct-q4-k-s.json,no_fit
3.8b-mini4k-instruct-q40,phi3:3.8b-mini-4k-instruct-q4_0,../sizes/3.8b-mini4k-instruct-q40.json,no_fit
3.8b-mini4k-instruct-q41,phi3:3.8b-mini-4k-instruct-q4_1,../sizes/3.8b-mini4k-instruct-q41.json,no_fit
3.8b-mini4k-instruct-q5-k-m,phi3:3.8b-mini-4k-instruct-q5_K_M,../sizes/3.8b-mini4k-instruct-q5-k-m.json,no_fit
3.8b-mini4k-instruct-q5-k-s,phi3:3.8b-mini-4k-instruct-q5_K_S,../sizes/3.8b-mini4k-instruct-q5-k-s.json,no_fit
3.8b-mini4k-instruct-q50,phi3:3.8b-mini-4k-instruct-q5_0,../sizes/3.8b-mini4k-instruct-q50.json,no_fit
3.8b-mini4k-instruct-q51,phi3:3.8b-mini-4k-instruct-q5_1,../sizes/3.8b-mini4k-instruct-q51.json,no_fit
3.8b-mini4k-instruct-q6-k,phi3:3.8b-mini-4k-instruct-q6_K,../sizes/3.8b-mini4k-instruct-q6-k.json,no_fit
3.8b-mini4k-instruct-q80,phi3:3.8b-mini-4k-instruct-q8_0,../sizes/3.8b-mini4k-instruct-q80.json,no_fit
medium128k,phi3:medium-128k,../sizes/medium128k.json,no_fit
mini128k,phi3:mini-128k,../sizes/mini128k.json,no_fit
medium4k,phi3:medium-4k,../sizes/medium4k.json,no_fit
mini4k,phi3:mini-4k,../sizes/mini4k.json,no_fit
instruct,phi3:instruct,../sizes/instruct.json,no_fit
latest,phi3:latest,../sizes/latest.json,no_fit
medium,phi3:medium,../sizes/medium.json,no_fit
mini,phi3:mini,../sizes/mini.json,no_fit
