size_slug,ollama_ref,size_file
3b,starcoder2:3b,sizes/3b.json
3b-fp16,starcoder2:3b-fp16,sizes/3b-fp16.json
3b-q2_k,starcoder2:3b-q2_K,sizes/3b-q2_k.json
3b-q3_k_l,starcoder2:3b-q3_K_L,sizes/3b-q3_k_l.json
3b-q3_k_m,starcoder2:3b-q3_K_M,sizes/3b-q3_k_m.json
3b-q3_k_s,starcoder2:3b-q3_K_S,sizes/3b-q3_k_s.json
3b-q4_0,starcoder2:3b-q4_0,sizes/3b-q4_0.json
3b-q4_1,starcoder2:3b-q4_1,sizes/3b-q4_1.json
3b-q4_k_m,starcoder2:3b-q4_K_M,sizes/3b-q4_k_m.json
3b-q4_k_s,starcoder2:3b-q4_K_S,sizes/3b-q4_k_s.json
3b-q5_0,starcoder2:3b-q5_0,sizes/3b-q5_0.json
3b-q5_1,starcoder2:3b-q5_1,sizes/3b-q5_1.json
3b-q5_k_m,starcoder2:3b-q5_K_M,sizes/3b-q5_k_m.json
3b-q5_k_s,starcoder2:3b-q5_K_S,sizes/3b-q5_k_s.json
3b-q6_k,starcoder2:3b-q6_K,sizes/3b-q6_k.json
3b-q8_0,starcoder2:3b-q8_0,sizes/3b-q8_0.json
latest,starcoder2:latest,sizes/latest.json
