size_slug,ollama_ref,size_file,fit_status
3b,granite4.1:3b,../sizes/3b.json,not_listed_in_agents_selection
3b-bf16,granite4.1:3b-bf16,../sizes/3b-bf16.json,not_listed_in_agents_selection
3b-q2_k,granite4.1:3b-q2_K,../sizes/3b-q2_k.json,not_listed_in_agents_selection
3b-q3_k_l,granite4.1:3b-q3_K_L,../sizes/3b-q3_k_l.json,not_listed_in_agents_selection
3b-q3_k_m,granite4.1:3b-q3_K_M,../sizes/3b-q3_k_m.json,not_listed_in_agents_selection
3b-q3_k_s,granite4.1:3b-q3_K_S,../sizes/3b-q3_k_s.json,not_listed_in_agents_selection
3b-q4_0,granite4.1:3b-q4_0,../sizes/3b-q4_0.json,not_listed_in_agents_selection
3b-q4_1,granite4.1:3b-q4_1,../sizes/3b-q4_1.json,not_listed_in_agents_selection
3b-q4_k_m,granite4.1:3b-q4_K_M,../sizes/3b-q4_k_m.json,not_listed_in_agents_selection
3b-q4_k_s,granite4.1:3b-q4_K_S,../sizes/3b-q4_k_s.json,not_listed_in_agents_selection
3b-q5_0,granite4.1:3b-q5_0,../sizes/3b-q5_0.json,not_listed_in_agents_selection
3b-q5_1,granite4.1:3b-q5_1,../sizes/3b-q5_1.json,not_listed_in_agents_selection
3b-q5_k_m,granite4.1:3b-q5_K_M,../sizes/3b-q5_k_m.json,not_listed_in_agents_selection
3b-q5_k_s,granite4.1:3b-q5_K_S,../sizes/3b-q5_k_s.json,not_listed_in_agents_selection
3b-q6_k,granite4.1:3b-q6_K,../sizes/3b-q6_k.json,not_listed_in_agents_selection
3b-q8_0,granite4.1:3b-q8_0,../sizes/3b-q8_0.json,not_listed_in_agents_selection
