size_slug,ollama_ref,size_file
3b,granite3-moe:3b,sizes/3b.json
3b-instruct-fp16,granite3-moe:3b-instruct-fp16,sizes/3b-instruct-fp16.json
3b-instruct-q2-k,granite3-moe:3b-instruct-q2_K,sizes/3b-instruct-q2-k.json
3b-instruct-q3-k-l,granite3-moe:3b-instruct-q3_K_L,sizes/3b-instruct-q3-k-l.json
3b-instruct-q3-k-m,granite3-moe:3b-instruct-q3_K_M,sizes/3b-instruct-q3-k-m.json
3b-instruct-q3-k-s,granite3-moe:3b-instruct-q3_K_S,sizes/3b-instruct-q3-k-s.json
3b-instruct-q4-k-m,granite3-moe:3b-instruct-q4_K_M,sizes/3b-instruct-q4-k-m.json
3b-instruct-q4-k-s,granite3-moe:3b-instruct-q4_K_S,sizes/3b-instruct-q4-k-s.json
3b-instruct-q40,granite3-moe:3b-instruct-q4_0,sizes/3b-instruct-q40.json
3b-instruct-q41,granite3-moe:3b-instruct-q4_1,sizes/3b-instruct-q41.json
3b-instruct-q5-k-m,granite3-moe:3b-instruct-q5_K_M,sizes/3b-instruct-q5-k-m.json
3b-instruct-q5-k-s,granite3-moe:3b-instruct-q5_K_S,sizes/3b-instruct-q5-k-s.json
3b-instruct-q50,granite3-moe:3b-instruct-q5_0,sizes/3b-instruct-q50.json
3b-instruct-q51,granite3-moe:3b-instruct-q5_1,sizes/3b-instruct-q51.json
3b-instruct-q6-k,granite3-moe:3b-instruct-q6_K,sizes/3b-instruct-q6-k.json
3b-instruct-q80,granite3-moe:3b-instruct-q8_0,sizes/3b-instruct-q80.json
1b,granite3-moe:1b,sizes/1b.json
1b-instruct-fp16,granite3-moe:1b-instruct-fp16,sizes/1b-instruct-fp16.json
1b-instruct-q2-k,granite3-moe:1b-instruct-q2_K,sizes/1b-instruct-q2-k.json
1b-instruct-q3-k-l,granite3-moe:1b-instruct-q3_K_L,sizes/1b-instruct-q3-k-l.json
1b-instruct-q3-k-m,granite3-moe:1b-instruct-q3_K_M,sizes/1b-instruct-q3-k-m.json
1b-instruct-q3-k-s,granite3-moe:1b-instruct-q3_K_S,sizes/1b-instruct-q3-k-s.json
1b-instruct-q4-k-m,granite3-moe:1b-instruct-q4_K_M,sizes/1b-instruct-q4-k-m.json
1b-instruct-q4-k-s,granite3-moe:1b-instruct-q4_K_S,sizes/1b-instruct-q4-k-s.json
1b-instruct-q40,granite3-moe:1b-instruct-q4_0,sizes/1b-instruct-q40.json
1b-instruct-q41,granite3-moe:1b-instruct-q4_1,sizes/1b-instruct-q41.json
1b-instruct-q5-k-m,granite3-moe:1b-instruct-q5_K_M,sizes/1b-instruct-q5-k-m.json
1b-instruct-q5-k-s,granite3-moe:1b-instruct-q5_K_S,sizes/1b-instruct-q5-k-s.json
1b-instruct-q50,granite3-moe:1b-instruct-q5_0,sizes/1b-instruct-q50.json
1b-instruct-q51,granite3-moe:1b-instruct-q5_1,sizes/1b-instruct-q51.json
1b-instruct-q6-k,granite3-moe:1b-instruct-q6_K,sizes/1b-instruct-q6-k.json
1b-instruct-q80,granite3-moe:1b-instruct-q8_0,sizes/1b-instruct-q80.json
latest,granite3-moe:latest,sizes/latest.json
