size_slug,ollama_ref,size_file,fit_status
7b,stable-beluga:7b,../sizes/7b.json,not_listed_in_agents_selection
7b-fp16,stable-beluga:7b-fp16,../sizes/7b-fp16.json,not_listed_in_agents_selection
7b-q2_k,stable-beluga:7b-q2_K,../sizes/7b-q2_k.json,not_listed_in_agents_selection
7b-q3_k_l,stable-beluga:7b-q3_K_L,../sizes/7b-q3_k_l.json,not_listed_in_agents_selection
7b-q3_k_m,stable-beluga:7b-q3_K_M,../sizes/7b-q3_k_m.json,not_listed_in_agents_selection
7b-q3_k_s,stable-beluga:7b-q3_K_S,../sizes/7b-q3_k_s.json,not_listed_in_agents_selection
7b-q4_0,stable-beluga:7b-q4_0,../sizes/7b-q4_0.json,not_listed_in_agents_selection
7b-q4_1,stable-beluga:7b-q4_1,../sizes/7b-q4_1.json,not_listed_in_agents_selection
7b-q4_k_m,stable-beluga:7b-q4_K_M,../sizes/7b-q4_k_m.json,not_listed_in_agents_selection
7b-q4_k_s,stable-beluga:7b-q4_K_S,../sizes/7b-q4_k_s.json,not_listed_in_agents_selection
7b-q5_0,stable-beluga:7b-q5_0,../sizes/7b-q5_0.json,not_listed_in_agents_selection
7b-q5_1,stable-beluga:7b-q5_1,../sizes/7b-q5_1.json,not_listed_in_agents_selection
7b-q5_k_m,stable-beluga:7b-q5_K_M,../sizes/7b-q5_k_m.json,not_listed_in_agents_selection
7b-q5_k_s,stable-beluga:7b-q5_K_S,../sizes/7b-q5_k_s.json,not_listed_in_agents_selection
7b-q6_k,stable-beluga:7b-q6_K,../sizes/7b-q6_k.json,not_listed_in_agents_selection
7b-q8_0,stable-beluga:7b-q8_0,../sizes/7b-q8_0.json,not_listed_in_agents_selection
latest,stable-beluga:latest,../sizes/latest.json,not_listed_in_agents_selection
