size_slug,ollama_ref,size_file,fit_status
13b,codellama:13b,../sizes/13b.json,not_listed_in_agents_selection
13b-code,codellama:13b-code,../sizes/13b-code.json,not_listed_in_agents_selection
13b-code-fp16,codellama:13b-code-fp16,../sizes/13b-code-fp16.json,not_listed_in_agents_selection
13b-code-q2_k,codellama:13b-code-q2_K,../sizes/13b-code-q2_k.json,not_listed_in_agents_selection
13b-code-q3_k_l,codellama:13b-code-q3_K_L,../sizes/13b-code-q3_k_l.json,not_listed_in_agents_selection
13b-code-q3_k_m,codellama:13b-code-q3_K_M,../sizes/13b-code-q3_k_m.json,not_listed_in_agents_selection
13b-code-q3_k_s,codellama:13b-code-q3_K_S,../sizes/13b-code-q3_k_s.json,not_listed_in_agents_selection
13b-code-q4_0,codellama:13b-code-q4_0,../sizes/13b-code-q4_0.json,not_listed_in_agents_selection
13b-code-q4_1,codellama:13b-code-q4_1,../sizes/13b-code-q4_1.json,not_listed_in_agents_selection
13b-code-q4_k_m,codellama:13b-code-q4_K_M,../sizes/13b-code-q4_k_m.json,not_listed_in_agents_selection
13b-code-q4_k_s,codellama:13b-code-q4_K_S,../sizes/13b-code-q4_k_s.json,not_listed_in_agents_selection
13b-code-q5_0,codellama:13b-code-q5_0,../sizes/13b-code-q5_0.json,not_listed_in_agents_selection
13b-code-q5_1,codellama:13b-code-q5_1,../sizes/13b-code-q5_1.json,not_listed_in_agents_selection
13b-code-q5_k_m,codellama:13b-code-q5_K_M,../sizes/13b-code-q5_k_m.json,not_listed_in_agents_selection
13b-code-q5_k_s,codellama:13b-code-q5_K_S,../sizes/13b-code-q5_k_s.json,not_listed_in_agents_selection
13b-code-q6_k,codellama:13b-code-q6_K,../sizes/13b-code-q6_k.json,not_listed_in_agents_selection
13b-code-q8_0,codellama:13b-code-q8_0,../sizes/13b-code-q8_0.json,not_listed_in_agents_selection
13b-instruct,codellama:13b-instruct,../sizes/13b-instruct.json,not_listed_in_agents_selection
13b-instruct-fp16,codellama:13b-instruct-fp16,../sizes/13b-instruct-fp16.json,not_listed_in_agents_selection
13b-instruct-q2_k,codellama:13b-instruct-q2_K,../sizes/13b-instruct-q2_k.json,not_listed_in_agents_selection
13b-instruct-q3_k_l,codellama:13b-instruct-q3_K_L,../sizes/13b-instruct-q3_k_l.json,not_listed_in_agents_selection
13b-instruct-q3_k_m,codellama:13b-instruct-q3_K_M,../sizes/13b-instruct-q3_k_m.json,not_listed_in_agents_selection
13b-instruct-q3_k_s,codellama:13b-instruct-q3_K_S,../sizes/13b-instruct-q3_k_s.json,not_listed_in_agents_selection
13b-instruct-q4_0,codellama:13b-instruct-q4_0,../sizes/13b-instruct-q4_0.json,not_listed_in_agents_selection
13b-instruct-q4_1,codellama:13b-instruct-q4_1,../sizes/13b-instruct-q4_1.json,not_listed_in_agents_selection
13b-instruct-q4_k_m,codellama:13b-instruct-q4_K_M,../sizes/13b-instruct-q4_k_m.json,not_listed_in_agents_selection
13b-instruct-q4_k_s,codellama:13b-instruct-q4_K_S,../sizes/13b-instruct-q4_k_s.json,not_listed_in_agents_selection
13b-instruct-q5_0,codellama:13b-instruct-q5_0,../sizes/13b-instruct-q5_0.json,not_listed_in_agents_selection
13b-instruct-q5_1,codellama:13b-instruct-q5_1,../sizes/13b-instruct-q5_1.json,not_listed_in_agents_selection
13b-instruct-q5_k_m,codellama:13b-instruct-q5_K_M,../sizes/13b-instruct-q5_k_m.json,not_listed_in_agents_selection
13b-instruct-q5_k_s,codellama:13b-instruct-q5_K_S,../sizes/13b-instruct-q5_k_s.json,not_listed_in_agents_selection
13b-instruct-q6_k,codellama:13b-instruct-q6_K,../sizes/13b-instruct-q6_k.json,not_listed_in_agents_selection
13b-instruct-q8_0,codellama:13b-instruct-q8_0,../sizes/13b-instruct-q8_0.json,not_listed_in_agents_selection
13b-python,codellama:13b-python,../sizes/13b-python.json,not_listed_in_agents_selection
13b-python-fp16,codellama:13b-python-fp16,../sizes/13b-python-fp16.json,not_listed_in_agents_selection
13b-python-q2_k,codellama:13b-python-q2_K,../sizes/13b-python-q2_k.json,not_listed_in_agents_selection
13b-python-q3_k_l,codellama:13b-python-q3_K_L,../sizes/13b-python-q3_k_l.json,not_listed_in_agents_selection
13b-python-q3_k_m,codellama:13b-python-q3_K_M,../sizes/13b-python-q3_k_m.json,not_listed_in_agents_selection
13b-python-q3_k_s,codellama:13b-python-q3_K_S,../sizes/13b-python-q3_k_s.json,not_listed_in_agents_selection
13b-python-q4_0,codellama:13b-python-q4_0,../sizes/13b-python-q4_0.json,not_listed_in_agents_selection
13b-python-q4_1,codellama:13b-python-q4_1,../sizes/13b-python-q4_1.json,not_listed_in_agents_selection
13b-python-q4_k_m,codellama:13b-python-q4_K_M,../sizes/13b-python-q4_k_m.json,not_listed_in_agents_selection
13b-python-q4_k_s,codellama:13b-python-q4_K_S,../sizes/13b-python-q4_k_s.json,not_listed_in_agents_selection
13b-python-q5_0,codellama:13b-python-q5_0,../sizes/13b-python-q5_0.json,not_listed_in_agents_selection
13b-python-q5_1,codellama:13b-python-q5_1,../sizes/13b-python-q5_1.json,not_listed_in_agents_selection
13b-python-q5_k_m,codellama:13b-python-q5_K_M,../sizes/13b-python-q5_k_m.json,not_listed_in_agents_selection
13b-python-q5_k_s,codellama:13b-python-q5_K_S,../sizes/13b-python-q5_k_s.json,not_listed_in_agents_selection
13b-python-q6_k,codellama:13b-python-q6_K,../sizes/13b-python-q6_k.json,not_listed_in_agents_selection
13b-python-q8_0,codellama:13b-python-q8_0,../sizes/13b-python-q8_0.json,not_listed_in_agents_selection
