size_slug,ollama_ref,size_file,fit_status
7b,notus:7b,../sizes/7b.json,not_listed_in_agents_selection
7b-v1,notus:7b-v1,../sizes/7b-v1.json,not_listed_in_agents_selection
7b-v1-fp16,notus:7b-v1-fp16,../sizes/7b-v1-fp16.json,not_listed_in_agents_selection
7b-v1-q2_k,notus:7b-v1-q2_K,../sizes/7b-v1-q2_k.json,not_listed_in_agents_selection
7b-v1-q3_k_l,notus:7b-v1-q3_K_L,../sizes/7b-v1-q3_k_l.json,not_listed_in_agents_selection
7b-v1-q3_k_m,notus:7b-v1-q3_K_M,../sizes/7b-v1-q3_k_m.json,not_listed_in_agents_selection
7b-v1-q3_k_s,notus:7b-v1-q3_K_S,../sizes/7b-v1-q3_k_s.json,not_listed_in_agents_selection
7b-v1-q4_0,notus:7b-v1-q4_0,../sizes/7b-v1-q4_0.json,not_listed_in_agents_selection
7b-v1-q4_1,notus:7b-v1-q4_1,../sizes/7b-v1-q4_1.json,not_listed_in_agents_selection
7b-v1-q4_k_m,notus:7b-v1-q4_K_M,../sizes/7b-v1-q4_k_m.json,not_listed_in_agents_selection
7b-v1-q4_k_s,notus:7b-v1-q4_K_S,../sizes/7b-v1-q4_k_s.json,not_listed_in_agents_selection
7b-v1-q5_0,notus:7b-v1-q5_0,../sizes/7b-v1-q5_0.json,not_listed_in_agents_selection
7b-v1-q5_1,notus:7b-v1-q5_1,../sizes/7b-v1-q5_1.json,not_listed_in_agents_selection
7b-v1-q5_k_m,notus:7b-v1-q5_K_M,../sizes/7b-v1-q5_k_m.json,not_listed_in_agents_selection
7b-v1-q5_k_s,notus:7b-v1-q5_K_S,../sizes/7b-v1-q5_k_s.json,not_listed_in_agents_selection
7b-v1-q6_k,notus:7b-v1-q6_K,../sizes/7b-v1-q6_k.json,not_listed_in_agents_selection
7b-v1-q8_0,notus:7b-v1-q8_0,../sizes/7b-v1-q8_0.json,not_listed_in_agents_selection
latest,notus:latest,../sizes/latest.json,not_listed_in_agents_selection
