size_slug,ollama_ref,size_file
7b,duckdb-nsql:7b,sizes/7b.json
7b-fp16,duckdb-nsql:7b-fp16,sizes/7b-fp16.json
7b-q2_k,duckdb-nsql:7b-q2_K,sizes/7b-q2_k.json
7b-q3_k_l,duckdb-nsql:7b-q3_K_L,sizes/7b-q3_k_l.json
7b-q3_k_m,duckdb-nsql:7b-q3_K_M,sizes/7b-q3_k_m.json
7b-q3_k_s,duckdb-nsql:7b-q3_K_S,sizes/7b-q3_k_s.json
7b-q4_0,duckdb-nsql:7b-q4_0,sizes/7b-q4_0.json
7b-q4_1,duckdb-nsql:7b-q4_1,sizes/7b-q4_1.json
7b-q4_k_m,duckdb-nsql:7b-q4_K_M,sizes/7b-q4_k_m.json
7b-q4_k_s,duckdb-nsql:7b-q4_K_S,sizes/7b-q4_k_s.json
7b-q5_0,duckdb-nsql:7b-q5_0,sizes/7b-q5_0.json
7b-q5_1,duckdb-nsql:7b-q5_1,sizes/7b-q5_1.json
7b-q5_k_m,duckdb-nsql:7b-q5_K_M,sizes/7b-q5_k_m.json
7b-q5_k_s,duckdb-nsql:7b-q5_K_S,sizes/7b-q5_k_s.json
7b-q6_k,duckdb-nsql:7b-q6_K,sizes/7b-q6_k.json
7b-q8_0,duckdb-nsql:7b-q8_0,sizes/7b-q8_0.json
latest,duckdb-nsql:latest,sizes/latest.json
