size_slug,ollama_ref,size_file
10b,falcon3:10b,sizes/10b.json
10b-instruct-fp16,falcon3:10b-instruct-fp16,sizes/10b-instruct-fp16.json
10b-instruct-q4-k-m,falcon3:10b-instruct-q4_K_M,sizes/10b-instruct-q4-k-m.json
10b-instruct-q80,falcon3:10b-instruct-q8_0,sizes/10b-instruct-q80.json
7b,falcon3:7b,sizes/7b.json
7b-instruct-fp16,falcon3:7b-instruct-fp16,sizes/7b-instruct-fp16.json
7b-instruct-q4-k-m,falcon3:7b-instruct-q4_K_M,sizes/7b-instruct-q4-k-m.json
7b-instruct-q80,falcon3:7b-instruct-q8_0,sizes/7b-instruct-q80.json
3b,falcon3:3b,sizes/3b.json
3b-instruct-fp16,falcon3:3b-instruct-fp16,sizes/3b-instruct-fp16.json
3b-instruct-q4-k-m,falcon3:3b-instruct-q4_K_M,sizes/3b-instruct-q4-k-m.json
3b-instruct-q80,falcon3:3b-instruct-q8_0,sizes/3b-instruct-q80.json
1b,falcon3:1b,sizes/1b.json
1b-instruct-fp16,falcon3:1b-instruct-fp16,sizes/1b-instruct-fp16.json
1b-instruct-q4-k-m,falcon3:1b-instruct-q4_K_M,sizes/1b-instruct-q4-k-m.json
1b-instruct-q80,falcon3:1b-instruct-q8_0,sizes/1b-instruct-q80.json
latest,falcon3:latest,sizes/latest.json
