size_slug,ollama_ref,size_file,fit_status
3b,starcoder:3b,../sizes/3b.json,not_listed_in_agents_selection
3b-base,starcoder:3b-base,../sizes/3b-base.json,not_listed_in_agents_selection
3b-base-fp16,starcoder:3b-base-fp16,../sizes/3b-base-fp16.json,not_listed_in_agents_selection
3b-base-q2_k,starcoder:3b-base-q2_K,../sizes/3b-base-q2_k.json,not_listed_in_agents_selection
3b-base-q3_k_l,starcoder:3b-base-q3_K_L,../sizes/3b-base-q3_k_l.json,not_listed_in_agents_selection
3b-base-q3_k_m,starcoder:3b-base-q3_K_M,../sizes/3b-base-q3_k_m.json,not_listed_in_agents_selection
3b-base-q3_k_s,starcoder:3b-base-q3_K_S,../sizes/3b-base-q3_k_s.json,not_listed_in_agents_selection
3b-base-q4_0,starcoder:3b-base-q4_0,../sizes/3b-base-q4_0.json,not_listed_in_agents_selection
3b-base-q4_1,starcoder:3b-base-q4_1,../sizes/3b-base-q4_1.json,not_listed_in_agents_selection
3b-base-q4_k_m,starcoder:3b-base-q4_K_M,../sizes/3b-base-q4_k_m.json,not_listed_in_agents_selection
3b-base-q4_k_s,starcoder:3b-base-q4_K_S,../sizes/3b-base-q4_k_s.json,not_listed_in_agents_selection
3b-base-q5_0,starcoder:3b-base-q5_0,../sizes/3b-base-q5_0.json,not_listed_in_agents_selection
3b-base-q5_1,starcoder:3b-base-q5_1,../sizes/3b-base-q5_1.json,not_listed_in_agents_selection
3b-base-q5_k_m,starcoder:3b-base-q5_K_M,../sizes/3b-base-q5_k_m.json,not_listed_in_agents_selection
3b-base-q5_k_s,starcoder:3b-base-q5_K_S,../sizes/3b-base-q5_k_s.json,not_listed_in_agents_selection
3b-base-q6_k,starcoder:3b-base-q6_K,../sizes/3b-base-q6_k.json,not_listed_in_agents_selection
3b-base-q8_0,starcoder:3b-base-q8_0,../sizes/3b-base-q8_0.json,not_listed_in_agents_selection
latest,starcoder:latest,../sizes/latest.json,not_listed_in_agents_selection
